|3|;|Wed May 06 13:11:07 +0000 2015|;|0|;|esses jovenzinhos tentando fazer fama em cima das manifestações dos professores|;|na|;|na|
|2|;|Wed May 06 12:17:15 +0000 2015|;|21|;|RT AT_USER Professores de SC participam de manifestações no Paraná URL URL|;|na|;|na|
|2|;|Wed May 06 12:09:01 +0000 2015|;|0|;|Professores de SC participam de manifestações no Paraná URL|;|na|;|na|
|2|;|Wed May 06 04:21:38 +0000 2015|;|0|;|PT vai ter q lidar com essas manifestações toda vez q resolver se manifestar isso é democrático Qe tal um panelaço a favor dos professores|;|na|;|na|
|0|;|Wed May 06 03:47:56 +0000 2015|;|53|;|RT AT_USER Globo dando ibope + uma vez pro panelaço sem nenhum propósito enquanto não se fala nada das manifestações em apoio aos profe…|;|na|;|na|
|3|;|Wed May 06 03:46:16 +0000 2015|;|1|;|RT AT_USER AT_USER Você viu manifestações dos professores contra um corte de 7 bi na educação logo após a AT_USER assumir o …|;|na|;|na|
|2|;|Wed May 06 03:36:28 +0000 2015|;|0|;|Professores de São Paulo expulsam Rede Globo das manifestações Professores em greve em São Paulo resolvem dar um URL|;|na|;|na|
|3|;|Wed May 06 03:17:37 +0000 2015|;|1|;|AT_USER Você viu manifestações dos professores contra um corte de 7 bi na educação logo após a AT_USER assumir o segundo mandato|;|na|;|na|
|3|;|Wed May 06 02:25:06 +0000 2015|;|1|;|Rixa o jogo retrata as manifestações dos professores no PR URL|;|na|;|na|
|3|;|Wed May 06 02:07:21 +0000 2015|;|0|;|AT_USER Essa é a tática dos Comunistas infiltraram nas manifestações dos professores e jogam a culpa nos outros|;|na|;|na|
|2|;|Wed May 06 02:07:06 +0000 2015|;|0|;|Alô AT_USER  Dá pra apurar o número de professores nas manifestações em SP e PR além dos feridos URL|;|na|;|na|
|0|;|Wed May 06 01:59:08 +0000 2015|;|0|;|AT_USER Falo Pq ja participei de varias manifestações aqui no Sul onde a CUT liderava os professores minha mãe é professora|;|na|;|na|
|0|;|Wed May 06 01:55:48 +0000 2015|;|0|;|É burrice ou idiotice desmerecer o panelaço falando dos professores Vi muitas manifestações sim apoiando os professores|;|na|;|na|
|3|;|Wed May 06 01:55:10 +0000 2015|;|0|;|AT_USER nesse caso é preciso se interar c as noticias das manifestações de professores de curitiba|;|na|;|na|
|3|;|Wed May 06 01:52:44 +0000 2015|;|2|;|RT AT_USER TB não divulga as maiores manifestações dos professores do Paraná manifestação contra sonegadores Globo RBS TV https…|;|na|;|na|
|3|;|Wed May 06 01:28:52 +0000 2015|;|2|;|TB não divulga as maiores manifestações dos professores do Paraná manifestação contra sonegadores Globo RBS TV URL|;|na|;|na|
|3|;|Wed May 06 01:00:58 +0000 2015|;|0|;|AT_USER não tinha black blocs Manifestações professores PR confirmado OABDefensoria Publica AT_USER mente até motivos da violência|;|na|;|na|
|3|;|Wed May 06 00:41:07 +0000 2015|;|2|;|RT AT_USER AT_USER #imagens 05 de maio manifestações dos professores(as) contra beto richa e o #MassacreCentroCivico http…|;|na|;|na|
|3|;|Wed May 06 00:37:16 +0000 2015|;|0|;|Quando há mais destaques sobre o panelaço do que sobre a passeata contra o Beto Richa ou a manifestações dos professores faz o que Chora|;|na|;|na|
|3|;|Wed May 06 00:36:19 +0000 2015|;|0|;|Sabe por que nas manifestações dos professores ninguém tem batido em panelas Porque alguns tem batido é nos professores|;|na|;|na|
|2|;|Wed May 06 00:36:18 +0000 2015|;|0|;|Globo dando ibope + uma vez pro panelaço sem nenhum propósito enquanto não se fala nada das manifestações em apoio aos professores do Paraná|;|na|;|na|
|2|;|Wed May 06 00:25:04 +0000 2015|;|0|;|Globo noticia panelaço fajuto mas manifestações em apoio aos professores do Paraná nada #ToNaLutaPeloBrasil|;|na|;|na|
|3|;|Wed May 06 00:16:10 +0000 2015|;|0|;|Se as manchetes seguirem a mesma linha das manifestações dos professores teremos coisas como|;|na|;|na|
|0|;|Wed May 06 00:12:21 +0000 2015|;|0|;|#ToNaLutaPeloBrasil Ninguém quer ver a causa dos professores desmoralizada por envolvidos na lavajato nas manifestações|;|na|;|na|
|3|;|Wed May 06 00:10:25 +0000 2015|;|0|;|Todos os paneleiros vão estar presentes nas próximas manifestações dos professores Já que lutam TANTO por um país melhor|;|na|;|na|
|2|;|Tue May 05 23:54:19 +0000 2015|;|1|;|RT AT_USER acho uma graça que mais de trezentos professores são feridos nas manifestações e nao há movimento nacional que mostre…|;|na|;|na|
|2|;|Tue May 05 23:52:49 +0000 2015|;|1|;|acho uma graça que mais de trezentos professores são feridos nas manifestações e nao há movimento nacional que mostre à indignação+|;|na|;|na|
|3|;|Tue May 05 23:48:55 +0000 2015|;|0|;|Bater panela a favor das manifestações dos professores ninguém quer né|;|na|;|na|
|0|;|Tue May 05 23:44:11 +0000 2015|;|1|;|parem de bater panela e comecem a apoiar os professores q levam bomba na cara durante as manifestações obrigada|;|na|;|na|
|0|;|Tue May 05 23:13:10 +0000 2015|;|3|;|RT AT_USER AT_USER Não tinham professores nas manifestações no Paranápois professor que se presa não anda com Gleisi Hoffmann…|;|na|;|na|
|0|;|Tue May 05 21:38:07 +0000 2015|;|0|;|AT_USER Houve excesso dos dois lados Os professores deveriam se espelhar nas manifestações dos dias 15 e 12|;|na|;|na|
|2|;|Tue May 05 21:08:49 +0000 2015|;|0|;|Esses desenvolvedores de jogos  &lt3 URL|;|na|;|na|
|3|;|Tue May 05 20:57:01 +0000 2015|;|1|;|RT AT_USER Os pais vão se unir às manifestações dos professores  URL|;|na|;|na|
|3|;|Tue May 05 20:42:06 +0000 2015|;|1|;|RT AT_USER Os pais dos alunos vão se unir às manifestações dos professores  URL|;|na|;|na|
|3|;|Tue May 05 20:27:00 +0000 2015|;|2|;|RT AT_USER Os pais dos alunos vão se unir às manifestações dos professores |;|na|;|na|
|3|;|Tue May 05 20:24:42 +0000 2015|;|0|;|Os pais dos alunos vão se unir às manifestações dos professores |;|na|;|na|
|3|;|Tue May 05 20:20:34 +0000 2015|;|1|;|Os pais dos alunos vão se unir às manifestações dos professores  URL|;|na|;|na|
|3|;|Tue May 05 20:17:57 +0000 2015|;|0|;|Os pais dos alunos vão se unir às manifestações dos professores|;|na|;|na|
|3|;|Tue May 05 20:17:27 +0000 2015|;|1|;|Os pais vão se unir às manifestações dos professores  URL|;|na|;|na|
|3|;|Tue May 05 20:13:53 +0000 2015|;|0|;|Os pais vão se unir às manifestações dos professores |;|na|;|na|
|0|;|Tue May 05 20:01:32 +0000 2015|;|0|;|Governos de todos os matizes usam a mesma tecnologia de polícia para reprimir manifestações URL|;|na|;|na|
|2|;|Tue May 05 20:00:44 +0000 2015|;|2|;|Professores de SC participam de manifestações no Paraná URL URL|;|na|;|na|
|0|;|Tue May 05 19:29:41 +0000 2015|;|0|;|Que coisa linda ver as imagens dos professores reunidos mantendo a greve adoro essas manifestações|;|na|;|na|
|3|;|Tue May 05 19:12:57 +0000 2015|;|0|;|MANIFESTAÇÕES DOS PROFESSORES  CURITIBA URL URL|;|na|;|na|
