|0|;|Mon Jan 05 16:39:51 +0000 2015|;|0|;|motos para segurança da presidente dilma motos moto harley-davidson batedores police presidente… URL|
|0|;|Mon Jan 05 16:38:22 +0000 2015|;|0|;|kassab assume ministério e promete apoio a dilma sem tergiversar presidente licenciado do psd que integra  URL|
|2|;|Mon Jan 05 16:36:15 +0000 2015|;|2|;|rt AT_USER AT_USER podemos seguir um ao outro do chile para apoiar o partido ea grande presidente dilma rousseff|
|0|;|Mon Jan 05 16:33:10 +0000 2015|;|0|;|o perfil do futuro presidente do banco do nordeste uma compensação de dilma ao pp ciro nogueira quer indicar  URL|
|0|;|Mon Jan 05 16:26:53 +0000 2015|;|0|;|desafios do novo governo da presidente dilma para transformar a educação em prioridade URL|
|2|;|Mon Jan 05 16:23:18 +0000 2015|;|0|;|desde que assumiu o palácio do planalto a presidente dilma rousseff procurou manter distância do projeto petista URL|
|0|;|Mon Jan 05 16:21:15 +0000 2015|;|1|;|rt AT_USER ex-presidente da caixa critica abertura de capital URL AT_USER AT_USER AT_USER AT_USER|
|3|;|Mon Jan 05 16:20:33 +0000 2015|;|0|;|dilma presidente do bndes e mais 10 são processados por corrupção na petrobras nos eua URL|
|0|;|Mon Jan 05 16:19:54 +0000 2015|;|1|;|rt AT_USER a vaca tossiu a presidente dilma fez várias restrições aos benefícios sociais e previdenciários dos trabalhadores|
|3|;|Mon Jan 05 16:19:08 +0000 2015|;|0|;|que desgosto de ver a dilma como presidente na moral dá uma vergonha do caramba de ser brasileiro|
|2|;|Mon Jan 05 16:18:12 +0000 2015|;|0|;|dilma veta lista de despesas que não teriam restrições orçamentárias a presidente dilma rousseff impediu uma  URL|
|0|;|Mon Jan 05 16:16:04 +0000 2015|;|0|;|pergunta que não quer calar a vaca já tossiu com a palavra a presidente dilma|
|0|;|Mon Jan 05 16:15:02 +0000 2015|;|0|;|começa o ajuste a presidente dilma explicou ontem no seu discurso de posse por que 2015 será de ajuste na URL|
|0|;|Mon Jan 05 16:13:38 +0000 2015|;|2|;|rt AT_USER leia no blog da dilma ex-presidente da caixa critica abertura de capital URL|
|0|;|Mon Jan 05 16:13:37 +0000 2015|;|1|;|ex-presidente da caixa critica abertura de capital URL AT_USER AT_USER AT_USER AT_USER|
|0|;|Mon Jan 05 16:10:59 +0000 2015|;|1|;|rt AT_USER cid gomes recua sobre novo piso nacional para a educação URL mais um ministro repreendido pela president…|
|0|;|Mon Jan 05 16:08:58 +0000 2015|;|1|;|dirceu visitou presidente dilma no alvorada URL via AT_USER uol|
|0|;|Mon Jan 05 16:04:31 +0000 2015|;|0|;|desmoralização pública do ministro barbosa do planejamento mostra a incapacidade da presidente dilma de liderar sua equipe escolheu chefiar|
|3|;|Mon Jan 05 16:03:24 +0000 2015|;|19|;|rt AT_USER piada pronta brasil não vive crise de corrupção nem tem intocáveis diz dilma presidente comenta sobre denúncias de cor…|
|0|;|Mon Jan 05 16:02:26 +0000 2015|;|1|;|a vaca tossiu a presidente dilma fez várias restrições aos benefícios sociais e previdenciários dos trabalhadores|
|0|;|Mon Jan 05 16:00:36 +0000 2015|;|1|;|cid gomes recua sobre novo piso nacional para a educação URL mais um ministro repreendido pela presidente dilma oh|
|2|;|Mon Jan 05 15:59:07 +0000 2015|;|0|;|dilma rousseff nenhum passo a trás # secretaria-geral da presidência da república URL|
|0|;|Mon Jan 05 15:58:21 +0000 2015|;|0|;|AT_USER pois é tem toda razão mas terra de de presidente como a dilma tu espera o que|
|0|;|Mon Jan 05 15:57:18 +0000 2015|;|21|;|rt AT_USER o condenado dirceu visitou presidente dilma no alvorada URL via AT_USER uol|
|3|;|Mon Jan 05 15:52:52 +0000 2015|;|0|;|vcs escolheram a dilma como presidente né agora vocês vão se fuder esse ano |
|0|;|Mon Jan 05 15:49:40 +0000 2015|;|0|;|ex-presidente da caixa critica abertura de capital URL AT_USER AT_USER AT_USER AT_USER AT_USER|
|2|;|Mon Jan 05 15:43:14 +0000 2015|;|0|;|brasília - sob a alegação de prejuízos à execução da política fiscal a presidente dilma rousseff recusou uma lista de 43 ações de pr|
|2|;|Mon Jan 05 15:41:19 +0000 2015|;|0|;|dilma rousseff rejeita exceção para pf realizar gastos excepcionais brasília - a presidente dilma rousseff re URL|
|0|;|Mon Jan 05 15:40:12 +0000 2015|;|0|;|se a presidente dilma não tirar das suas mãos os cargos de ministra da fazenda e ministra do planejamento eles nada poderão fazer|
|0|;|Mon Jan 05 15:39:38 +0000 2015|;|0|;|AT_USER AT_USER coitada nenhum presidente na história desse país foi tão desprezado e odiado quanto a dilma seu autoritarismo sucks|
|3|;|Mon Jan 05 15:36:17 +0000 2015|;|2|;|rt AT_USER mais macabro que ter a dilma de presidente é ter o fdp do lula querendo se re reeleger em 2018|
