|Mon Jan 19 17:53:54 +0000 2015|;|0|;|que triste eu queria fazer pedagogia sisu|
|Mon Jan 19 17:53:50 +0000 2015|;|0|;|amanha depois que sair as notas de corte no sisu vou me jogar pq perceberei que minha misera media de 630 nao deve servir pra nada|
|Mon Jan 19 17:53:45 +0000 2015|;|26|;|rt AT_USER a realidade sisu é ricos nas faculdades publicas melhores cursos a realidade prouni é pobres ensino do publico http…|
|Mon Jan 19 17:53:45 +0000 2015|;|0|;|amigos se inscrevendo no sisu e eu aqui 😔|
|Mon Jan 19 17:53:35 +0000 2015|;|0|;|me inscrevi no sisu e vendo que artes cênicas não está mole|
|Mon Jan 19 17:53:35 +0000 2015|;|55|;|rt AT_USER sabe o que cairia bem a nota de corte do sisu sisumedeixaentrar sisu2015 👏|
|Mon Jan 19 17:53:27 +0000 2015|;|0|;|tão triste não ter o curso que eu quero pelo sisu só me ferro|
|Mon Jan 19 17:53:21 +0000 2015|;|0|;|eu não encontrei pedagogia sisu|
|Mon Jan 19 17:53:21 +0000 2015|;|1|;|rt AT_USER você fez o enem e pretende fazer sua graduação no ifrn corra que as inscrições para o sisu começam hoje URL|
|Mon Jan 19 17:53:20 +0000 2015|;|0|;|coloquei ufmg e ufrj no sisu pq é o primeiro dia e eu posso|
|Mon Jan 19 17:53:17 +0000 2015|;|5|;|rt AT_USER dizem que quando você se inscreve em ciências sociais no sisu aparece a mensagem morena tu tá metida com droga|
|Mon Jan 19 17:53:14 +0000 2015|;|0|;|gente as vagas do sisu ta foda|
|Mon Jan 19 17:53:12 +0000 2015|;|49|;|rt AT_USER que os alunos com médias lindas e maravilhosas esqueçam de se inscrever nesse bagulho sisu|
|Mon Jan 19 17:53:08 +0000 2015|;|0|;|AT_USER tem chamada oral e ainda tem o sisu de inverno calma que sempre da pra entrar )|
|Mon Jan 19 17:53:08 +0000 2015|;|0|;|minha nota da redação do enem foi muito baixa pra tentar o sisu (|
|Mon Jan 19 17:53:07 +0000 2015|;|0|;|amigoes nao esqueçam do sisu|
|Mon Jan 19 17:53:06 +0000 2015|;|1|;|rt AT_USER inscrita no sisu seja o que deus quiser 🙌|
|Mon Jan 19 17:53:00 +0000 2015|;|0|;|é porque só um milagre salva no sisu rt AT_USER está desanimado pesquisa afirma que hoje é o dia mais triste do ano|
|Mon Jan 19 17:52:44 +0000 2015|;|0|;|inscrição no sisu feita agora é esperar e ver no que vai dar|
|Mon Jan 19 17:52:40 +0000 2015|;|41|;|rt AT_USER inscrições para as 250 mil vagas do sisu 2015 começam nesta segunda URL g1 URL|
|Mon Jan 19 17:52:34 +0000 2015|;|0|;|vou me inscrever o sisu pra tentar letras -libras|
|Mon Jan 19 17:52:27 +0000 2015|;|0|;|gostaria de desejar sorte ás pessoas que se inscreveram no sisu sorte para entrar numa federal ou estadual pessoal vocês merece o|
|Mon Jan 19 17:52:24 +0000 2015|;|0|;|vou parar de me iludir com o sisu e esperar pelo prouni mesmo dhsajdhdkjsa|
|Mon Jan 19 17:52:22 +0000 2015|;|4|;|rt AT_USER de 19 a 22 de janeiro está aberto o prazo de inscrições no sisu venha para a ufla URL|
|Mon Jan 19 17:52:20 +0000 2015|;|0|;|AT_USER taeil hoje abriu o sisu off ai que preguiça de viver |
|Mon Jan 19 17:52:18 +0000 2015|;|1|;|rt AT_USER sisu começa a receber inscrições para instituições de ensino na paraíba URL learner16|
|Mon Jan 19 17:52:18 +0000 2015|;|1|;|1ª opção de curso revendedor avon 2ª opção de curso revendedor jequiti sisu|
|Mon Jan 19 17:52:15 +0000 2015|;|0|;|estão abertas as inscrições para as 205 mil vagas do sisu 2015 g1 URL|
|Mon Jan 19 17:52:08 +0000 2015|;|0|;|ainda não divulgaram a porra da nota de corte de hj dessa porra de sisu|
|Mon Jan 19 17:52:08 +0000 2015|;|31|;|rt AT_USER gente hoje meu bro disse que ia se inscrever no sisu pra ciencias sociais e letras eu acho que ele eh viado|
|Mon Jan 19 17:52:06 +0000 2015|;|0|;|me inscrevi no sisu e já perdi as contas de quantas vezes já mudei as opções de cursos|
|Mon Jan 19 17:52:06 +0000 2015|;|0|;|dando uma leve olhada na minha média pelo sisu e simplesmente desenganada da vida|
|Mon Jan 19 17:52:06 +0000 2015|;|0|;|AT_USER oii bebe ^ tu se inscreveu no sisu eu to tremendo mtoo|
|Mon Jan 19 17:52:06 +0000 2015|;|46|;|rt AT_USER estão abertas as inscrições para as 205 mil vagas do sisu 2015 URL g1 URL|
|Mon Jan 19 17:51:57 +0000 2015|;|0|;|cara to calma esses dias pq não preciso de sisu na minha vida pq senão eu ia estar desesperada|
|Mon Jan 19 17:51:57 +0000 2015|;|0|;|sisu brincando com a minha cara AT_USER|
